id	Substrate	Replicate	Day	Date	Temp	Salinity	DecompStage	Location	ElutionVolum	QuantifiedVolume	ng.mL	[stock]	Description	shannon	faith_pd	ADH
P101	Pig	1	1	7-Jun	28	0.1	SubmergedFresh	Centerportionontopofskull	100	1	5.01	1	P101	5.171132204	22.44129777	0
P201	Pig	2	1	7-Jun	28	0.1	SubmergedFresh	Centerportionontopofskull	100	1	5.42	1.08	P201	7.21129603	32.84145519	0
P301	Pig	3	1	7-Jun	28	0.1	SubmergedFresh	Centerportionontopofskull	100	1	29	5.8	P301	3.896851068	10.78011587	0
P401	Pig	4	1	7-Jun	28	0.1	SubmergedFresh	Centerportionontopofskull	100	1	6.16	1.23	P401	7.26853921	38.86406567	0
P501	Pig	5	1	7-Jun	28	0.1	SubmergedFresh	Centerportionontopofskull	100	1	11.4	2.28	P501	7.194018033	40.0780155	0
P601	Pig	6	1	7-Jun	28	0.1	SubmergedFresh	Centerportionontopofskull	100	1	5.42	1.08	P601	5.844035705	23.94169277	0
P104	Pig	1	4	10-Jun	32	0	EarlyFloating	Leftabdomen	100	1	60.7	12.1	P104	6.509329724	19.70631698	1850.976
P204	Pig	2	4	10-Jun	32	0	EarlyFloating	Leftabdomen	100	1	5.5	1.1	P204	5.625575159	19.15632079	1850.976
P304	Pig	3	4	10-Jun	32	0	EarlyFloating	Leftabdomen	100	1	8.41	1.68	P304	4.783989022	12.85349332	1850.976
P404	Pig	4	4	10-Jun	32	0	EarlyFloating	Leftabdomen	100	1	37.6	7.52	P404	5.034329786	10.19683458	1850.976
P504	Pig	5	4	10-Jun	32	0	EarlyFloating	Leftabdomen	100	1	41.9	8.38	P504	6.4599116	19.43604928	1850.976
P604	Pig	6	4	10-Jun	32	0	EarlyFloating	Leftabdomen	100	1	75.5	15.1	P604	6.186109296	18.49257203	1850.976
P207	Pig	2	7	13-Jun	30	1	Floatingdecay	Topofspine	100	1	10.3	2.06	P207	5.813114155	15.38438063	3893.064
P407	Pig	4	7	13-Jun	30	1	Floatingdecay	Topofspine	100	1	12.1	2.42	P407	4.677141449	14.7491366	3893.064
P507	Pig	5	7	13-Jun	30	1	Floatingdecay	Topofspine	100	1	4.68	0.936	P507	5.006213766	17.20988799	3893.064
P110	Pig	1	10	16-Jun	26	1	Advancedfloatingdecay	Spinalchord	100	1	7.68	1.54	P110	6.76487632	32.57375845	6069.744
P310	Pig	3	10	16-Jun	26	1	Floatingdecay	leftleg	100	1	12.1	2.42	P310	4.192490522	21.09680032	6069.744
P410	Pig	4	10	16-Jun	26	1	Floatingdecay	Righthindleg	100	1	6.79	1.36	P410	5.836110136	17.93205867	6069.744
P510	Pig	5	10	16-Jun	26	1	Floatingdecay	Lhindleg	100	1	7.97	1.59	P510	6.014492742	26.32404701	6069.744
P610	Pig	6	10	16-Jun	26	1	SunkenRemains	Vertebrae	100	1	20.6	4.12	P610	5.428435291	16.20333215	6069.744
P513	Pig	5	13	19-Jun	31	2	Advancedfloatingdecay	Bone	100	1	38.8	7.76	P513	5.970851776	24.67343352	8222.64
P113	Pig	1	13	19-Jun	31	2	SunkenRemains	Vertebrae	100	1	24.8	4.96	P113	8.499876397	52.2370914	8222.64
P313	Pig	3	13	19-Jun	31	2	SunkenRemains	Bone	100	1	31.6	6.32	P313	8.442136153	53.70648817	8222.64
P416	Pig	4	16	22-Jun	33	1	Advancedfloatingdecay	Bone	100	1	12.1	2.42	P416	7.537261809	46.56844303	10502.808
P516	Pig	5	16	22-Jun	33	1	Advancedfloatingdecay	Bone	100	1	8.48	1.7	P516	7.37310253	33.81433606	10502.808
P116	Pig	1	16	22-Jun	33	1	SunkenRemains	Bone	100	1	5.8	1.16	P116	8.779842031	63.10084918	10502.808
P216	Pig	2	16	22-Jun	33	1	SunkenRemains	Bone	100	1	5.82	1.16	P216	8.207700731	51.24724651	10502.808
P616	Pig	6	16	22-Jun	33	1	SunkenRemains	Bone	100	1	5.44	1.09	P616	8.235271293	56.96337464	10502.808
P119	Pig	1	19	25-Jun	29	3	SunkenRemains	Bone	100	1	19.2	3.84	P119	8.386333329	53.22922522	12751.8
P219	Pig	2	19	25-Jun	29	3	SunkenRemains	Bone	100	1	15.6	3.12	P219	8.021937505	48.24631078	12751.8
P419	Pig	4	19	25-Jun	29	3	SunkenRemains	Bone	100	1	16.4	3.28	P419	8.297499426	52.7973212	12751.8
P519	Pig	5	19	25-Jun	29	3	SunkenRemains	Bone	100	1	11.7	2.34	P519	7.861949191	42.72358314	12751.8
