Time	 Temp	Sal	Date
0	26.4	1.6	July_6th
0.25	26.2	1.6	July_6th
0.5	25.8	1.4	July_6th
0.75	25.3	1.1	July_6th
1	24.8	0.9	July_6th
1.25	24.2	0.7	July_6th
1.5	23.8	0.5	July_6th
1.75	23.5	0.4	July_6th
2	23.3	0.3	July_6th
2.25	23.2	0.2	July_6th
2.5	23.1	0.2	July_6th
2.75	23.1	0.2	July_6th
3	23.1	0.1	July_6th
3.25	23	0.1	July_6th
3.5	23	0.1	July_6th
3.75	22.9	0.1	July_6th
4	22.9	0.1	July_6th
4.25	22.8	0.1	July_6th
4.5	22.8	0.1	July_6th
4.75	22.8	0.1	July_6th
5	22.8	0.1	July_6th
5.25	22.8	0.1	July_6th
5.5	22.7	0.1	July_6th
5.75	22.7	0.1	July_6th
6	22.7	0.1	July_6th
6.25	22.7	0.1	July_6th
6.5	22.7	0	July_6th
6.75	22.7	0	July_6th
7	22.7	0.1	July_6th
7.25	22.7	0.1	July_6th
7.5	22.7	0	July_6th
7.75	22.6	0	July_6th
8	22.7	0	July_6th
8.25	22.6	0	July_6th
8.5	22.6	0	July_6th
8.75	22.6	0	July_6th
9	22.6	0	July_7th
9.25	22.6	0	July_7th
9.5	22.6	0	July_7th
9.75	22.6	0	July_7th
10	22.6	0	July_7th
10.25	22.5	0	July_7th
10.5	22.5	0	July_7th
10.75	22.5	0	July_7th
11	22.5	0	July_7th
11.25	22.5	0	July_7th
11.5	22.5	0	July_7th
11.75	22.5	0	July_7th
12	22.5	0	July_7th
12.25	22.4	0	July_7th
12.5	22.4	0	July_7th
12.75	22.4	0	July_7th
13	22.4	0	July_7th
13.25	22.4	0	July_7th
13.5	22.4	0	July_7th
13.75	22.4	0	July_7th
14	22.4	0	July_7th
14.25	22.4	0	July_7th
14.5	22.3	0	July_7th
14.75	22.3	0	July_7th
15	22.3	0	July_7th
15.25	22.3	0	July_7th
15.5	22.3	0	July_7th
15.75	22.4	0	July_7th
16	22.4	0	July_7th
16.25	22.4	0	July_7th
16.5	22.4	0	July_7th
16.75	22.4	0	July_7th
17	22.5	0	July_7th
17.25	22.5	0	July_7th
17.5	22.5	0	July_7th
17.75	22.5	0	July_7th
